City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Ozernovskiy,RU,51.5,156.5167,39.13,60,100,24.9,light rain
80,North Bend,US,43.4065,-124.2243,58.15,61,25,3.76,scattered clouds
81,Castro,BR,-24.7911,-50.0119,57.09,96,100,5.32,overcast clouds
82,Hithadhoo,MV,-0.6,73.0833,81.86,73,100,7.58,overcast clouds
83,Srednekolymsk,RU,67.45,153.6833,-1.32,99,93,3.51,overcast clouds
84,Makakilo City,US,21.3469,-158.0858,80.69,62,40,11.5,scattered clouds
85,Black River,JM,18.0264,-77.8487,87.98,69,82,4.83,broken clouds
86,Pevek,RU,69.7008,170.3133,9.18,81,100,4.07,overcast clouds
87,Parainen,FI,60.3067,22.301,38.89,71,2,13.33,clear sky
88,Bairiki,KI,1.3292,172.9752,81.09,70,11,9.22,few clouds
89,Fiche,ET,9.8,38.7333,47.3,51,34,4.74,scattered clouds
90,Saint-Philippe,RE,-21.3585,55.7679,72.95,80,43,14.81,scattered clouds
91,Kaitangata,NZ,-46.2817,169.8464,48.92,69,100,6.69,light rain
92,Isangel,VU,-19.55,169.2667,74.39,89,100,8.81,overcast clouds
93,Victor Harbor,AU,-35.5667,138.6167,53.01,88,12,8.66,few clouds
94,Hermanus,ZA,-34.4187,19.2345,50.81,69,0,10.45,clear sky
95,Tuatapere,NZ,-46.1333,167.6833,44.83,90,100,12.53,overcast clouds
96,Quatre Cocos,MU,-20.2078,57.7625,74.08,74,28,13.33,scattered clouds
97,Thompson,CA,55.7435,-97.8558,51.96,66,75,8.05,broken clouds
98,Zhongshu,CN,24.5167,103.7667,58.06,99,100,4.41,overcast clouds
99,Krasnoselkup,RU,65.7,82.4667,36.41,94,100,17.22,overcast clouds
100,Fukue,JP,32.6881,128.8419,66.04,65,100,14.81,light rain
101,Mangrol,IN,21.1167,70.1167,79.36,70,44,9.86,scattered clouds
102,Yellowknife,CA,62.456,-114.3525,34.41,87,75,13.8,light snow
103,Narsaq,GL,60.9167,-46.05,30.31,38,51,4.25,broken clouds
104,Hovd,MN,48.0056,91.6419,33.1,58,0,0.49,clear sky
105,Yanji,CN,42.9075,129.5078,30.67,83,69,5.28,broken clouds
106,Camacha,PT,33.0833,-16.3333,70.56,88,20,5.75,few clouds
107,Nouadhibou,MR,20.931,-17.0347,70.52,82,4,16.73,clear sky
108,Yarada,IN,17.65,83.2667,82.72,94,75,2.3,mist
109,Sao Filipe,CV,14.8961,-24.4956,80.04,75,3,9.01,clear sky
110,Boguchany,RU,58.3814,97.4531,33.44,93,100,4.0,overcast clouds
111,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,83,2,12.06,clear sky
112,Beringovskiy,RU,63.05,179.3167,34.27,91,61,9.08,broken clouds
113,Vestmannaeyjar,IS,63.4427,-20.2734,48.49,83,100,15.57,moderate rain
114,Oktyabrskiy,RU,54.4815,53.471,50.23,57,100,8.21,overcast clouds
115,Sembe,CG,1.6481,14.5806,74.3,92,99,2.06,light rain
116,Zakamensk,RU,50.3741,103.2863,26.46,69,8,2.13,clear sky
117,Boende,CD,-0.2167,20.8667,71.29,98,88,2.46,overcast clouds
118,Nemuro,JP,43.3236,145.575,48.13,59,22,10.18,few clouds
119,Cidreira,BR,-30.1811,-50.2056,63.48,68,85,8.25,overcast clouds
120,Piopio,NZ,-38.4667,175.0167,57.79,76,32,3.96,scattered clouds
121,Tasiilaq,GL,65.6145,-37.6368,35.76,49,100,4.85,overcast clouds
122,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,87,95,10.58,overcast clouds
123,Provideniya,RU,64.3833,-173.3,28.47,78,100,27.81,overcast clouds
124,Chuy,UY,-33.6971,-53.4616,61.86,76,43,8.01,scattered clouds
125,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,93,75,8.05,broken clouds
126,Rajakhera,IN,26.8961,78.1714,70.27,90,97,9.78,overcast clouds
